,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,ai_impact,tasks,ai_models,ai_workload_ratio,domain
34,2024,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
35,2024,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
36,2024,SE,FT,Data Engineer,216000,USD,216000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
37,2024,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
38,2024,MI,FT,Data Engineer,115000,USD,115000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
39,2024,MI,FT,Data Engineer,98000,USD,98000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
40,2024,MI,FT,Data Engineer,217800,USD,217800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
41,2024,MI,FT,Data Engineer,108400,USD,108400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
42,2024,MI,FT,Data Engineer,172000,USD,172000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
43,2024,MI,FT,Data Engineer,75600,USD,75600,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
44,2024,MI,FT,Data Engineer,137000,USD,137000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
45,2024,MI,FT,Data Engineer,60300,USD,60300,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
46,2024,MI,FT,Data Engineer,220000,USD,220000,EG,0,EG,M,30%,216,1478,0.1461434370771312,Hospitality
47,2024,MI,FT,Data Engineer,96600,USD,96600,EG,0,EG,M,30%,216,1478,0.1461434370771312,Hospitality
48,2024,MI,FT,Data Engineer,96000,USD,96000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
49,2024,MI,FT,Data Engineer,47000,USD,47000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
50,2024,SE,FT,Data Engineer,172000,USD,172000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
51,2024,SE,FT,Data Engineer,75600,USD,75600,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
52,2024,MI,FT,Data Engineer,137000,USD,137000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
53,2024,MI,FT,Data Engineer,60400,USD,60400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
54,2024,MI,FT,Data Engineer,169000,USD,169000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
55,2024,MI,FT,Data Engineer,106000,USD,106000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
56,2024,MI,FT,Data Engineer,227700,USD,227700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
57,2024,MI,FT,Data Engineer,125700,USD,125700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
58,2024,SE,FT,Data Engineer,265200,USD,265200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
59,2024,SE,FT,Data Engineer,125700,USD,125700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
60,2024,SE,FT,Data Engineer,207000,USD,207000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
61,2024,SE,FT,Data Engineer,140500,USD,140500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
62,2024,MI,FT,Data Engineer,265000,USD,265000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
63,2024,MI,FT,Data Engineer,164000,USD,164000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
64,2024,SE,FT,Data Engineer,297000,USD,297000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
65,2024,SE,FT,Data Engineer,138000,USD,138000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
66,2024,MI,FT,Data Engineer,107000,USD,107000,CA,0,CA,M,30%,216,1478,0.1461434370771312,Hospitality
67,2024,MI,FT,Data Engineer,90000,USD,90000,CA,0,CA,M,30%,216,1478,0.1461434370771312,Hospitality
68,2024,EX,FT,Data Engineer,142500,USD,142500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
69,2024,EX,FT,Data Engineer,90000,USD,90000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
70,2024,SE,FT,Data Engineer,179000,USD,179000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
71,2024,SE,FT,Data Engineer,112000,USD,112000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
72,2024,SE,FT,Data Engineer,228000,USD,228000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
73,2024,SE,FT,Data Engineer,99500,USD,99500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
74,2024,SE,FT,Data Engineer,179101,USD,179101,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
75,2024,SE,FT,Data Engineer,105353,USD,105353,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
76,2024,SE,FT,Data Engineer,143706,USD,143706,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
77,2024,SE,FT,Data Engineer,84533,USD,84533,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
78,2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
79,2024,SE,FT,Data Engineer,90000,USD,90000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
80,2024,MI,FT,Data Engineer,172000,USD,172000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
81,2024,MI,FT,Data Engineer,75600,USD,75600,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
82,2024,MI,FT,Data Engineer,169000,USD,169000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
83,2024,MI,FT,Data Engineer,106000,USD,106000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
84,2024,MI,FT,Data Engineer,198500,USD,198500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
85,2024,MI,FT,Data Engineer,108000,USD,108000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
86,2024,MI,FT,Data Engineer,190000,USD,190000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
87,2024,MI,FT,Data Engineer,134000,USD,134000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
88,2024,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
89,2024,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
90,2024,SE,FT,Data Engineer,285000,USD,285000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
91,2024,SE,FT,Data Engineer,190000,USD,190000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
92,2024,SE,FT,Data Engineer,120000,USD,120000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
93,2024,SE,FT,Data Engineer,92186,USD,92186,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
94,2024,EN,FT,Data Engineer,187415,USD,187415,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
95,2024,EN,FT,Data Engineer,114080,USD,114080,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
96,2024,MI,FT,Data Engineer,196200,USD,196200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
97,2024,MI,FT,Data Engineer,118800,USD,118800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
98,2024,MI,FT,Data Engineer,185000,USD,185000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
99,2024,MI,FT,Data Engineer,125000,USD,125000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
100,2024,SE,FT,Data Engineer,285200,USD,285200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
101,2024,SE,FT,Data Engineer,163000,USD,163000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
102,2024,SE,FT,Data Engineer,316900,USD,316900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
103,2024,SE,FT,Data Engineer,181100,USD,181100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
104,2024,MI,FT,Data Engineer,119100,USD,119100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
105,2024,MI,FT,Data Engineer,119100,USD,119100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
106,2024,MI,FT,Data Engineer,119100,USD,119100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
107,2024,MI,FT,Data Engineer,119100,USD,119100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
108,2024,SE,FT,Data Engineer,140000,USD,140000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
109,2024,SE,FT,Data Engineer,120000,USD,120000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
110,2024,MI,FT,Data Engineer,65000,USD,65000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
111,2024,MI,FT,Data Engineer,65000,USD,65000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
112,2024,MI,FT,Data Engineer,190000,USD,190000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
113,2024,MI,FT,Data Engineer,150000,USD,150000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
114,2024,MI,FT,Data Engineer,135000,USD,135000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
115,2024,MI,FT,Data Engineer,108000,USD,108000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
116,2024,MI,FT,Data Engineer,106700,USD,106700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
117,2024,MI,FT,Data Engineer,57700,USD,57700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
118,2024,SE,FT,Data Engineer,235400,USD,235400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
119,2024,SE,FT,Data Engineer,212109,USD,212109,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
120,2024,MI,FT,Data Engineer,165000,USD,165000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
121,2024,MI,FT,Data Engineer,143000,USD,143000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
122,2024,MI,FT,Data Engineer,284900,USD,284900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
123,2024,MI,FT,Data Engineer,161700,USD,161700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
124,2024,SE,FT,Data Engineer,149200,USD,149200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
125,2024,SE,FT,Data Engineer,93400,USD,93400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
126,2024,SE,FT,Data Engineer,136700,USD,136700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
127,2024,SE,FT,Data Engineer,111900,USD,111900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
128,2024,MI,FT,Data Engineer,45616,GBP,57020,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
129,2024,MI,FT,Data Engineer,39904,GBP,49880,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
130,2024,MI,FT,Data Engineer,150500,USD,150500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
131,2024,MI,FT,Data Engineer,102500,USD,102500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
132,2024,SE,FT,Data Engineer,230608,USD,230608,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
133,2024,SE,FT,Data Engineer,184486,USD,184486,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
134,2024,SE,FT,Data Engineer,199000,USD,199000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
135,2024,SE,FT,Data Engineer,136038,USD,136038,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
136,2024,MI,FT,Data Engineer,40000,GBP,50000,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
137,2024,MI,FT,Data Engineer,40000,GBP,50000,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
138,2024,MI,FT,Data Engineer,120750,USD,120750,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
139,2024,MI,FT,Data Engineer,89250,USD,89250,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
140,2024,MI,FT,Data Engineer,137000,USD,137000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
141,2024,MI,FT,Data Engineer,60300,USD,60300,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
142,2024,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
143,2024,SE,FT,Data Engineer,96000,USD,96000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
144,2024,MI,FT,Data Engineer,45616,GBP,57020,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
145,2024,MI,FT,Data Engineer,39904,GBP,49880,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
146,2024,MI,FT,Data Engineer,184000,USD,184000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
147,2024,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
148,2024,SE,FT,Data Engineer,178315,USD,178315,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
149,2024,SE,FT,Data Engineer,123830,USD,123830,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
150,2024,SE,FT,Data Engineer,183300,USD,183300,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
151,2024,SE,FT,Data Engineer,101400,USD,101400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
152,2024,EN,FT,Data Engineer,57450,USD,57450,CA,0,CA,M,30%,216,1478,0.1461434370771312,Hospitality
153,2024,EN,FT,Data Engineer,49107,USD,49107,CA,0,CA,M,30%,216,1478,0.1461434370771312,Hospitality
154,2024,MI,FT,Data Engineer,182500,USD,182500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
155,2024,MI,FT,Data Engineer,115000,USD,115000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
156,2024,SE,FT,Data Engineer,194400,USD,194400,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
157,2024,SE,FT,Data Engineer,116600,USD,116600,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
158,2024,MI,FT,Data Engineer,187100,USD,187100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
159,2024,MI,FT,Data Engineer,95000,USD,95000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
160,2024,SE,FT,Data Engineer,220500,USD,220500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
161,2024,SE,FT,Data Engineer,120500,USD,120500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
162,2024,SE,FT,Data Engineer,264800,USD,264800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
163,2024,SE,FT,Data Engineer,172900,USD,172900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
164,2024,SE,FT,Data Engineer,264800,USD,264800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
165,2024,SE,FT,Data Engineer,172900,USD,172900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
166,2024,SE,FT,Data Engineer,172500,USD,172500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
167,2024,SE,FT,Data Engineer,127500,USD,127500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
168,2024,SE,FT,Data Engineer,161500,USD,161500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
169,2024,SE,FT,Data Engineer,138200,USD,138200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
170,2024,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
171,2024,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
172,2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
173,2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
174,2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
175,2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
176,2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
177,2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
178,2024,SE,FT,Data Engineer,221000,USD,221000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
179,2024,SE,FT,Data Engineer,138000,USD,138000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
180,2024,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
181,2024,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
182,2024,SE,FT,Data Engineer,217100,USD,217100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
183,2024,SE,FT,Data Engineer,116900,USD,116900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
184,2024,SE,FT,Data Engineer,235400,USD,235400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
185,2024,SE,FT,Data Engineer,209720,USD,209720,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
186,2024,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
187,2024,SE,FT,Data Engineer,235000,USD,235000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
188,2024,SE,FT,Data Engineer,156200,USD,156200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
189,2024,SE,FT,Data Engineer,82400,USD,82400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
190,2024,MI,FT,Data Engineer,45000,GBP,56250,GB,100,GB,M,30%,216,1478,0.1461434370771312,Hospitality
191,2024,MI,FT,Data Engineer,38000,GBP,47500,GB,100,GB,M,30%,216,1478,0.1461434370771312,Hospitality
192,2024,SE,FT,Data Engineer,172000,USD,172000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
193,2024,SE,FT,Data Engineer,101000,USD,101000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
194,2024,SE,FT,Data Engineer,221000,USD,221000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
195,2024,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
196,2024,MI,FT,Data Engineer,196900,USD,196900,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
197,2024,MI,FT,Data Engineer,180393,USD,180393,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
198,2024,SE,FT,Data Engineer,178000,USD,178000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
199,2024,SE,FT,Data Engineer,117000,USD,117000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
200,2024,SE,FT,Data Engineer,245000,USD,245000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
201,2024,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
202,2024,SE,FT,Data Engineer,219700,USD,219700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
203,2024,SE,FT,Data Engineer,164299,USD,164299,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
204,2024,SE,FT,Data Engineer,165300,USD,165300,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
205,2024,SE,FT,Data Engineer,106700,USD,106700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
206,2024,SE,FT,Data Engineer,141000,USD,141000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
207,2024,SE,FT,Data Engineer,122000,USD,122000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
208,2024,SE,FT,Data Engineer,105000,GBP,131250,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
209,2024,SE,FT,Data Engineer,85000,GBP,106250,GB,0,GB,M,30%,216,1478,0.1461434370771312,Hospitality
210,2024,SE,FT,Data Engineer,70000,EUR,77777,FR,0,FR,M,30%,216,1478,0.1461434370771312,Hospitality
211,2024,SE,FT,Data Engineer,60000,EUR,66666,FR,0,FR,M,30%,216,1478,0.1461434370771312,Hospitality
212,2024,SE,FT,Data Engineer,139500,USD,139500,CA,0,CA,M,30%,216,1478,0.1461434370771312,Hospitality
213,2024,SE,FT,Data Engineer,90000,USD,90000,CA,0,CA,M,30%,216,1478,0.1461434370771312,Hospitality
214,2024,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
215,2024,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
216,2024,SE,FT,Data Engineer,188600,USD,188600,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
217,2024,SE,FT,Data Engineer,120800,USD,120800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
218,2024,SE,FT,Data Engineer,202500,USD,202500,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
219,2024,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
220,2024,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
221,2024,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
222,2024,SE,FT,Data Engineer,234000,USD,234000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
223,2024,SE,FT,Data Engineer,117000,USD,117000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
224,2024,SE,FT,Data Engineer,220000,USD,220000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
225,2024,SE,FT,Data Engineer,110000,USD,110000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
226,2024,SE,FT,Data Engineer,200618,USD,200618,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
227,2024,SE,FT,Data Engineer,148282,USD,148282,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
228,2024,MI,FT,Data Engineer,199000,USD,199000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
229,2024,MI,FT,Data Engineer,119000,USD,119000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
230,2024,SE,FT,Data Engineer,299000,USD,299000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
231,2024,SE,FT,Data Engineer,169000,USD,169000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
232,2024,MI,FT,Data Engineer,135000,USD,135000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
233,2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
234,2024,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
235,2024,SE,FT,Data Engineer,92500,USD,92500,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
236,2024,MI,FT,Data Engineer,176000,USD,176000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
